Driver_ID,total_trips,total_readings,Accel_flag_rate,Gyro_flag_rate,avg_trip_risk_rate,worst_trip_risk_rate,safety_score,risk_tier
D11,15,357,0.014005602240896359,0.008403361344537815,0.011204481792717087,0.045454545454545456,98.9,Safe
D09,15,396,0.020202020202020204,0.0025252525252525255,0.011363636363636364,0.036585365853658534,98.9,Safe
D28,15,400,0.015,0.0125,0.01375,0.18181818181818182,98.6,Safe
D05,15,482,0.014522821576763486,0.014522821576763486,0.014522821576763486,0.057692307692307696,98.5,Safe
D22,15,458,0.021834061135371178,0.013100436681222707,0.017467248908296942,0.07692307692307693,98.3,Safe
D29,15,442,0.024886877828054297,0.011312217194570135,0.01809954751131222,0.07692307692307693,98.2,Safe
D18,15,400,0.025,0.015,0.02,0.06,98.0,Safe
D26,15,419,0.02386634844868735,0.016706443914081145,0.02028639618138425,0.05555555555555555,98.0,Safe
D16,15,459,0.02832244008714597,0.015250544662309368,0.02178649237472767,0.045454545454545456,97.8,Safe
D30,15,474,0.04219409282700422,0.0189873417721519,0.03059071729957806,0.06097560975609756,96.9,Safe
D04,15,475,0.02526315789473684,0.035789473684210524,0.030526315789473683,0.0625,96.9,Safe
D07,15,462,0.03463203463203463,0.030303030303030304,0.032467532467532464,0.0641025641025641,96.8,Safe
D08,15,466,0.045064377682403435,0.023605150214592276,0.034334763948497854,0.07142857142857142,96.6,Safe
D17,15,438,0.0502283105022831,0.0228310502283105,0.0365296803652968,0.07692307692307693,96.3,Safe
D27,15,366,0.04644808743169399,0.030054644808743168,0.03825136612021858,0.09090909090909091,96.2,Safe
D21,15,472,0.04449152542372881,0.03177966101694915,0.038135593220338986,0.07575757575757576,96.2,Safe
D10,15,470,0.05106382978723404,0.02553191489361702,0.03829787234042553,0.0875,96.2,Safe
D02,15,402,0.05721393034825871,0.022388059701492536,0.03980099502487562,0.10714285714285714,96.0,Safe
D13,15,431,0.06496519721577726,0.025522041763341066,0.04524361948955916,0.09523809523809523,95.5,Safe
D25,15,439,0.06378132118451026,0.02733485193621868,0.04555808656036447,0.1111111111111111,95.4,Safe
D20,15,380,0.06578947368421052,0.02894736842105263,0.04736842105263158,0.09259259259259259,95.3,Safe
D15,15,479,0.05845511482254697,0.03549060542797495,0.04697286012526096,0.11538461538461539,95.3,Safe
D01,15,427,0.0585480093676815,0.04215456674473068,0.05035128805620609,0.12903225806451613,95.0,Safe
D06,15,470,0.07021276595744681,0.0425531914893617,0.05638297872340425,0.09722222222222221,94.4,Safe
D12,15,360,0.08611111111111111,0.044444444444444446,0.06527777777777778,0.19230769230769232,93.5,Safe
D23,15,457,0.09846827133479212,0.04157549234135667,0.0700218818380744,0.1111111111111111,93.0,Safe
D24,15,460,0.1,0.043478260869565216,0.07173913043478261,0.13636363636363635,92.8,Safe
D03,15,482,0.10580912863070539,0.03734439834024896,0.07157676348547717,0.17857142857142855,92.8,Safe
D19,15,338,0.10355029585798817,0.047337278106508875,0.07544378698224852,0.2727272727272727,92.5,Safe
D14,15,426,0.11737089201877934,0.03755868544600939,0.07746478873239436,0.171875,92.3,Safe
