Trip_ID,Driver_ID,Vehicle_ID,n_readings,Accel_flag_events,Gyro_flag_events,Accel_flag_rate,Gyro_flag_rate,trip_risk_rate
T00001,D01,V01,16,2,0,0.125,0.0,0.0625
T00002,D01,V01,22,0,1,0.0,0.045454545454545456,0.022727272727272728
T00003,D01,V01,27,2,1,0.07407407407407407,0.037037037037037035,0.05555555555555555
T00004,D01,V01,42,1,3,0.023809523809523808,0.07142857142857142,0.047619047619047616
T00005,D01,V01,13,2,1,0.15384615384615385,0.07692307692307693,0.11538461538461539
T00006,D01,V01,19,3,1,0.15789473684210525,0.05263157894736842,0.10526315789473684
T00007,D01,V01,15,1,0,0.06666666666666667,0.0,0.03333333333333333
T00008,D01,V01,41,0,1,0.0,0.024390243902439025,0.012195121951219513
T00009,D01,V01,31,7,1,0.22580645161290322,0.03225806451612903,0.12903225806451613
T00010,D01,V01,33,0,1,0.0,0.030303030303030304,0.015151515151515152
T00011,D01,V01,41,2,1,0.04878048780487805,0.024390243902439025,0.03658536585365854
T00012,D01,V01,29,1,0,0.034482758620689655,0.0,0.017241379310344827
T00013,D01,V01,37,1,3,0.02702702702702703,0.08108108108108109,0.05405405405405406
T00014,D01,V01,24,1,2,0.041666666666666664,0.08333333333333333,0.0625
T00015,D01,V01,37,2,2,0.05405405405405406,0.05405405405405406,0.05405405405405406
T00016,D02,V02,14,2,1,0.14285714285714285,0.07142857142857142,0.10714285714285714
T00017,D02,V02,25,0,0,0.0,0.0,0.0
T00018,D02,V02,25,1,0,0.04,0.0,0.02
T00019,D02,V02,20,0,0,0.0,0.0,0.0
T00020,D02,V02,43,4,0,0.09302325581395349,0.0,0.046511627906976744
T00021,D02,V02,45,3,3,0.06666666666666667,0.06666666666666667,0.06666666666666667
T00022,D02,V02,41,1,1,0.024390243902439025,0.024390243902439025,0.024390243902439025
T00023,D02,V02,21,0,0,0.0,0.0,0.0
T00024,D02,V02,35,2,0,0.05714285714285714,0.0,0.02857142857142857
T00025,D02,V02,17,2,1,0.11764705882352941,0.058823529411764705,0.08823529411764705
T00026,D02,V02,13,0,0,0.0,0.0,0.0
T00027,D02,V02,19,2,0,0.10526315789473684,0.0,0.05263157894736842
T00028,D02,V02,18,1,2,0.05555555555555555,0.1111111111111111,0.08333333333333333
T00029,D02,V02,44,2,1,0.045454545454545456,0.022727272727272728,0.03409090909090909
T00030,D02,V02,22,3,0,0.13636363636363635,0.0,0.06818181818181818
T00031,D03,V03,18,2,1,0.1111111111111111,0.05555555555555555,0.08333333333333333
T00032,D03,V03,38,5,3,0.13157894736842105,0.07894736842105263,0.10526315789473684
T00033,D03,V03,14,4,1,0.2857142857142857,0.07142857142857142,0.17857142857142855
T00034,D03,V03,22,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456
T00035,D03,V03,32,5,0,0.15625,0.0,0.078125
T00036,D03,V03,31,5,1,0.16129032258064516,0.03225806451612903,0.0967741935483871
T00037,D03,V03,43,4,1,0.09302325581395349,0.023255813953488372,0.05813953488372093
T00038,D03,V03,44,1,0,0.022727272727272728,0.0,0.011363636363636364
T00039,D03,V03,25,1,3,0.04,0.12,0.08
T00040,D03,V03,31,6,1,0.1935483870967742,0.03225806451612903,0.11290322580645161
T00041,D03,V03,35,4,0,0.11428571428571428,0.0,0.05714285714285714
T00042,D03,V03,40,4,1,0.1,0.025,0.0625
T00043,D03,V03,39,3,1,0.07692307692307693,0.02564102564102564,0.05128205128205128
T00044,D03,V03,27,5,0,0.18518518518518517,0.0,0.09259259259259259
T00045,D03,V03,43,1,4,0.023255813953488372,0.09302325581395349,0.05813953488372093
T00046,D04,V04,45,1,0,0.022222222222222223,0.0,0.011111111111111112
T00047,D04,V04,33,1,1,0.030303030303030304,0.030303030303030304,0.030303030303030304
T00048,D04,V04,32,2,1,0.0625,0.03125,0.046875
T00049,D04,V04,32,2,2,0.0625,0.0625,0.0625
T00050,D04,V04,38,1,0,0.02631578947368421,0.0,0.013157894736842105
T00051,D04,V04,38,2,1,0.05263157894736842,0.02631578947368421,0.039473684210526314
T00052,D04,V04,21,0,1,0.0,0.047619047619047616,0.023809523809523808
T00053,D04,V04,29,1,2,0.034482758620689655,0.06896551724137931,0.05172413793103448
T00054,D04,V04,40,0,2,0.0,0.05,0.025
T00055,D04,V04,28,1,2,0.03571428571428571,0.07142857142857142,0.05357142857142857
T00056,D04,V04,27,0,2,0.0,0.07407407407407407,0.037037037037037035
T00057,D04,V04,29,1,0,0.034482758620689655,0.0,0.017241379310344827
T00058,D04,V04,20,0,2,0.0,0.1,0.05
T00059,D04,V04,32,0,1,0.0,0.03125,0.015625
T00060,D04,V04,31,0,0,0.0,0.0,0.0
T00061,D05,V05,42,0,1,0.0,0.023809523809523808,0.011904761904761904
T00062,D05,V05,41,0,1,0.0,0.024390243902439025,0.012195121951219513
T00063,D05,V05,45,0,0,0.0,0.0,0.0
T00064,D05,V05,26,2,1,0.07692307692307693,0.038461538461538464,0.057692307692307696
T00065,D05,V05,44,0,0,0.0,0.0,0.0
T00066,D05,V05,22,0,0,0.0,0.0,0.0
T00067,D05,V05,41,1,2,0.024390243902439025,0.04878048780487805,0.03658536585365854
T00068,D05,V05,27,0,1,0.0,0.037037037037037035,0.018518518518518517
T00069,D05,V05,27,1,0,0.037037037037037035,0.0,0.018518518518518517
T00070,D05,V05,39,2,1,0.05128205128205128,0.02564102564102564,0.038461538461538464
T00071,D05,V05,27,0,0,0.0,0.0,0.0
T00072,D05,V05,26,1,0,0.038461538461538464,0.0,0.019230769230769232
T00073,D05,V05,22,0,0,0.0,0.0,0.0
T00074,D05,V05,12,0,0,0.0,0.0,0.0
T00075,D05,V05,41,0,0,0.0,0.0,0.0
T00076,D06,V06,19,1,0,0.05263157894736842,0.0,0.02631578947368421
T00077,D06,V06,38,3,1,0.07894736842105263,0.02631578947368421,0.05263157894736842
T00078,D06,V06,30,2,0,0.06666666666666667,0.0,0.03333333333333333
T00079,D06,V06,16,1,0,0.0625,0.0,0.03125
T00080,D06,V06,40,3,1,0.075,0.025,0.05
T00081,D06,V06,36,2,2,0.05555555555555555,0.05555555555555555,0.05555555555555555
T00082,D06,V06,43,4,3,0.09302325581395349,0.06976744186046512,0.08139534883720931
T00083,D06,V06,36,1,3,0.027777777777777776,0.08333333333333333,0.05555555555555555
T00084,D06,V06,40,2,0,0.05,0.0,0.025
T00085,D06,V06,20,0,2,0.0,0.1,0.05
T00086,D06,V06,22,1,0,0.045454545454545456,0.0,0.022727272727272728
T00087,D06,V06,36,3,4,0.08333333333333333,0.1111111111111111,0.09722222222222221
T00088,D06,V06,42,5,3,0.11904761904761904,0.07142857142857142,0.09523809523809523
T00089,D06,V06,38,5,0,0.13157894736842105,0.0,0.06578947368421052
T00090,D06,V06,14,0,1,0.0,0.07142857142857142,0.03571428571428571
T00091,D07,V07,44,3,1,0.06818181818181818,0.022727272727272728,0.045454545454545456
T00092,D07,V07,41,2,1,0.04878048780487805,0.024390243902439025,0.03658536585365854
T00093,D07,V07,32,2,1,0.0625,0.03125,0.046875
T00094,D07,V07,44,2,0,0.045454545454545456,0.0,0.022727272727272728
T00095,D07,V07,42,4,1,0.09523809523809523,0.023809523809523808,0.05952380952380952
T00096,D07,V07,16,0,0,0.0,0.0,0.0
T00097,D07,V07,16,0,1,0.0,0.0625,0.03125
T00098,D07,V07,31,0,2,0.0,0.06451612903225806,0.03225806451612903
T00099,D07,V07,18,0,0,0.0,0.0,0.0
T00100,D07,V07,42,1,1,0.023809523809523808,0.023809523809523808,0.023809523809523808
T00101,D07,V07,25,0,1,0.0,0.04,0.02
T00102,D07,V07,20,0,0,0.0,0.0,0.0
T00103,D07,V07,36,0,1,0.0,0.027777777777777776,0.013888888888888888
T00104,D07,V07,16,0,1,0.0,0.0625,0.03125
T00105,D07,V07,39,2,3,0.05128205128205128,0.07692307692307693,0.0641025641025641
T00106,D08,V08,37,3,1,0.08108108108108109,0.02702702702702703,0.05405405405405406
T00107,D08,V08,33,0,0,0.0,0.0,0.0
T00108,D08,V08,39,1,0,0.02564102564102564,0.0,0.01282051282051282
T00109,D08,V08,20,0,0,0.0,0.0,0.0
T00110,D08,V08,31,1,1,0.03225806451612903,0.03225806451612903,0.03225806451612903
T00111,D08,V08,41,2,2,0.04878048780487805,0.04878048780487805,0.04878048780487805
T00112,D08,V08,16,0,0,0.0,0.0,0.0
T00113,D08,V08,45,1,2,0.022222222222222223,0.044444444444444446,0.03333333333333333
T00114,D08,V08,40,3,2,0.075,0.05,0.0625
T00115,D08,V08,11,1,0,0.09090909090909091,0.0,0.045454545454545456
T00116,D08,V08,20,0,0,0.0,0.0,0.0
T00117,D08,V08,39,3,0,0.07692307692307693,0.0,0.038461538461538464
T00118,D08,V08,16,0,0,0.0,0.0,0.0
T00119,D08,V08,35,4,1,0.11428571428571428,0.02857142857142857,0.07142857142857142
T00120,D08,V08,43,2,2,0.046511627906976744,0.046511627906976744,0.046511627906976744
T00121,D09,V09,13,0,0,0.0,0.0,0.0
T00122,D09,V09,11,0,0,0.0,0.0,0.0
T00123,D09,V09,43,1,0,0.023255813953488372,0.0,0.011627906976744186
T00124,D09,V09,13,0,0,0.0,0.0,0.0
T00125,D09,V09,14,0,0,0.0,0.0,0.0
T00126,D09,V09,39,1,0,0.02564102564102564,0.0,0.01282051282051282
T00127,D09,V09,26,1,0,0.038461538461538464,0.0,0.019230769230769232
T00128,D09,V09,25,0,0,0.0,0.0,0.0
T00129,D09,V09,34,1,0,0.029411764705882353,0.0,0.014705882352941176
T00130,D09,V09,30,0,0,0.0,0.0,0.0
T00131,D09,V09,34,1,1,0.029411764705882353,0.029411764705882353,0.029411764705882353
T00132,D09,V09,38,0,0,0.0,0.0,0.0
T00133,D09,V09,13,0,0,0.0,0.0,0.0
T00134,D09,V09,41,3,0,0.07317073170731707,0.0,0.036585365853658534
T00135,D09,V09,22,0,0,0.0,0.0,0.0
T00136,D10,V10,37,3,0,0.08108108108108109,0.0,0.04054054054054054
T00137,D10,V10,42,4,1,0.09523809523809523,0.023809523809523808,0.05952380952380952
T00138,D10,V10,39,0,0,0.0,0.0,0.0
T00139,D10,V10,15,1,0,0.06666666666666667,0.0,0.03333333333333333
T00140,D10,V10,13,0,1,0.0,0.07692307692307693,0.038461538461538464
T00141,D10,V10,26,0,0,0.0,0.0,0.0
T00142,D10,V10,30,4,0,0.13333333333333333,0.0,0.06666666666666667
T00143,D10,V10,40,3,1,0.075,0.025,0.05
T00144,D10,V10,40,4,3,0.1,0.075,0.0875
T00145,D10,V10,36,0,0,0.0,0.0,0.0
T00146,D10,V10,29,2,2,0.06896551724137931,0.06896551724137931,0.06896551724137931
T00147,D10,V10,31,2,1,0.06451612903225806,0.03225806451612903,0.04838709677419355
T00148,D10,V10,13,1,0,0.07692307692307693,0.0,0.038461538461538464
T00149,D10,V10,44,0,2,0.0,0.045454545454545456,0.022727272727272728
T00150,D10,V10,35,0,1,0.0,0.02857142857142857,0.014285714285714285
T00151,D11,V11,37,0,0,0.0,0.0,0.0
T00152,D11,V11,11,0,0,0.0,0.0,0.0
T00153,D11,V11,13,0,0,0.0,0.0,0.0
T00154,D11,V11,33,1,1,0.030303030303030304,0.030303030303030304,0.030303030303030304
T00155,D11,V11,33,0,1,0.0,0.030303030303030304,0.015151515151515152
T00156,D11,V11,32,0,0,0.0,0.0,0.0
T00157,D11,V11,27,1,0,0.037037037037037035,0.0,0.018518518518518517
T00158,D11,V11,37,1,0,0.02702702702702703,0.0,0.013513513513513514
T00159,D11,V11,12,0,0,0.0,0.0,0.0
T00160,D11,V11,25,0,0,0.0,0.0,0.0
T00161,D11,V11,17,0,0,0.0,0.0,0.0
T00162,D11,V11,11,1,0,0.09090909090909091,0.0,0.045454545454545456
T00163,D11,V11,30,1,0,0.03333333333333333,0.0,0.016666666666666666
T00164,D11,V11,11,0,0,0.0,0.0,0.0
T00165,D11,V11,28,0,1,0.0,0.03571428571428571,0.017857142857142856
T00166,D12,V12,36,2,0,0.05555555555555555,0.0,0.027777777777777776
T00167,D12,V12,13,4,1,0.3076923076923077,0.07692307692307693,0.19230769230769232
T00168,D12,V12,39,2,0,0.05128205128205128,0.0,0.02564102564102564
T00169,D12,V12,16,1,2,0.0625,0.125,0.09375
T00170,D12,V12,44,2,4,0.045454545454545456,0.09090909090909091,0.06818181818181818
T00171,D12,V12,15,0,0,0.0,0.0,0.0
T00172,D12,V12,22,1,3,0.045454545454545456,0.13636363636363635,0.09090909090909091
T00173,D12,V12,15,2,1,0.13333333333333333,0.06666666666666667,0.1
T00174,D12,V12,27,3,0,0.1111111111111111,0.0,0.05555555555555555
T00175,D12,V12,13,1,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
T00176,D12,V12,10,1,1,0.1,0.1,0.1
T00177,D12,V12,20,1,0,0.05,0.0,0.025
T00178,D12,V12,41,5,1,0.12195121951219512,0.024390243902439025,0.07317073170731707
T00179,D12,V12,21,2,1,0.09523809523809523,0.047619047619047616,0.07142857142857142
T00180,D12,V12,28,4,1,0.14285714285714285,0.03571428571428571,0.08928571428571427
